timestamp,message_type,src_system,src_component,payload_json
1776972286.83372,EKF_STATUS_REPORT,1,1,"{""mavpackettype"": ""EKF_STATUS_REPORT"", ""flags"": 831, ""velocity_variance"": 0.006163672544062138, ""pos_horiz_variance"": 0.006100949365645647, ""pos_vert_variance"": 0.011542669497430325, ""compass_variance"": 0.011232076212763786, ""terrain_alt_variance"": 0.0, ""airspeed_variance"": 0.0}"
1776972286.83389,LOCAL_POSITION_NED,1,1,"{""mavpackettype"": ""LOCAL_POSITION_NED"", ""time_boot_ms"": 1685964, ""x"": 0.016831912100315094, ""y"": -0.01750286854803562, ""z"": -0.009015982039272785, ""vx"": 0.01917777583003044, ""vy"": -0.019867831841111183, ""vz"": -0.006043340545147657}"
1776972286.834055,VIBRATION,1,1,"{""mavpackettype"": ""VIBRATION"", ""time_usec"": 1685964511, ""vibration_x"": 0.002759308787062764, ""vibration_y"": 0.002727049170061946, ""vibration_z"": 0.002708640182390809, ""clipping_0"": 0, ""clipping_1"": 0, ""clipping_2"": 0}"
1776972286.834246,BATTERY_STATUS,1,1,"{""mavpackettype"": ""BATTERY_STATUS"", ""id"": 0, ""battery_function"": 0, ""type"": 0, ""temperature"": 32767, ""voltages"": [12600, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535], ""current_battery"": 0, ""current_consumed"": 0, ""energy_consumed"": 0, ""battery_remaining"": 99, ""time_remaining"": 0, ""charge_state"": 1, ""voltages_ext"": [0, 0, 0, 0], ""mode"": 0, ""fault_bitmask"": 0}"
1776972286.8344374,UNKNOWN_295,0,0,"{""mavpackettype"": ""UNKNOWN_295"", ""data"": ""bytearray(b\""\\xfd\\x0c\\x00\\x00`\\x01\\x01\\'\\x01\\x00\\xe8I\\x08?\\x00\\x90`?\\xff\\x7f\\x00\\x02\\x82\\x81\"")""}"
1776972286.834777,AHRS2,1,1,"{""mavpackettype"": ""AHRS2"", ""roll"": -0.0015844680601730943, ""pitch"": -0.001780758611857891, ""yaw"": 0.002949395449832082, ""altitude"": -0.04999999701976776, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.8353007,ATTITUDE,1,1,"{""mavpackettype"": ""ATTITUDE"", ""time_boot_ms"": 1685964, ""roll"": -0.0011788028059527278, ""pitch"": -0.001376295811496675, ""yaw"": -0.013976174406707287, ""rollspeed"": -0.0002241205656901002, ""pitchspeed"": -0.00023034645710140467, ""yawspeed"": -0.0007271032081916928}"
1776972286.8356779,VFR_HUD,1,1,"{""mavpackettype"": ""VFR_HUD"", ""airspeed"": 0.5323777198791504, ""groundspeed"": 0.027613725513219833, ""heading"": 359, ""throttle"": 0, ""alt"": 0.09999999403953552, ""climb"": 0.006043340545147657}"
1776972286.8359797,SIMSTATE,1,1,"{""mavpackettype"": ""SIMSTATE"", ""roll"": 0.0, ""pitch"": 0.0, ""yaw"": 0.00010003882925957441, ""xacc"": -3.176373552203626e-20, ""yacc"": 1.0932397300569183e-23, ""zacc"": -9.806650161743164, ""xgyro"": 0.0, ""ygyro"": 0.0, ""zgyro"": 4.3655745685100555e-09, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.8362813,AOA_SSA,1,1,"{""mavpackettype"": ""AOA_SSA"", ""time_usec"": 1685964511, ""AOA"": 0.0, ""SSA"": 0.0}"
1776972286.8365679,ESC_TELEMETRY_1_TO_4,1,1,"{""mavpackettype"": ""ESC_TELEMETRY_1_TO_4"", ""temperature"": [0, 0, 32, 0], ""voltage"": [0, 0, 1679, 0], ""current"": [0, 0, 80, 0], ""totalcurrent"": [0, 0, 1, 0], ""rpm"": [0, 0, 0, 0], ""count"": [0, 0, 18463, 0]}"
1776972286.9227445,HEARTBEAT,1,1,"{""mavpackettype"": ""HEARTBEAT"", ""type"": 1, ""autopilot"": 3, ""base_mode"": 81, ""custom_mode"": 0, ""system_status"": 3, ""mavlink_version"": 3}"
1776972287.0924506,AHRS2,1,1,"{""mavpackettype"": ""AHRS2"", ""roll"": -0.001588201499544084, ""pitch"": -0.0017742294585332274, ""yaw"": 0.0029532331973314285, ""altitude"": 0.25, ""lat"": -353633516, ""lng"": 1491652412}"
1776972287.092937,ATTITUDE,1,1,"{""mavpackettype"": ""ATTITUDE"", ""time_boot_ms"": 1686224, ""roll"": -0.0011842419626191258, ""pitch"": -0.0013731849612668157, ""yaw"": -0.013972640968859196, ""rollspeed"": -0.0002404516562819481, ""pitchspeed"": -0.0002919656690210104, ""yawspeed"": -0.000721723074093461}"
1776972287.0932086,VFR_HUD,1,1,"{""mavpackettype"": ""VFR_HUD"", ""airspeed"": 0.6767733693122864, ""groundspeed"": 0.027754561975598335, ""heading"": 359, ""throttle"": 0, ""alt"": 0.09999999403953552, ""climb"": 0.005640583578497171}"
1776972287.094632,SIMSTATE,1,1,"{""mavpackettype"": ""SIMSTATE"", ""roll"": 0.0, ""pitch"": 0.0, ""yaw"": 0.00010003882925957441, ""xacc"": -3.176373552203626e-20, ""yacc"": 1.0932397300569183e-23, ""zacc"": -9.806650161743164, ""xgyro"": 0.0, ""ygyro"": 0.0, ""zgyro"": 4.3655745685100555e-09, ""lat"": -353633516, ""lng"": 1491652412}"
1776972287.0957706,AOA_SSA,1,1,"{""mavpackettype"": ""AOA_SSA"", ""time_usec"": 1686224407, ""AOA"": 0.0, ""SSA"": 0.0}"
1776972287.096192,ESC_TELEMETRY_1_TO_4,1,1,"{""mavpackettype"": ""ESC_TELEMETRY_1_TO_4"", ""temperature"": [0, 0, 32, 0], ""voltage"": [0, 0, 1679, 0], ""current"": [0, 0, 80, 0], ""totalcurrent"": [0, 0, 1, 0], ""rpm"": [0, 0, 0, 0], ""count"": [0, 0, 18476, 0]}"
1776972287.3414636,AHRS,1,1,"{""mavpackettype"": ""AHRS"", ""omegaIx"": -0.0018825820880010724, ""omegaIy"": -0.0019381066085770726, ""omegaIz"": -0.0023561830166727304, ""accel_weight"": 0.0, ""renorm_val"": 0.0, ""error_rp"": 0.002375140320509672, ""error_yaw"": 0.0014525179285556078}"
1776972287.3438537,GLOBAL_POSITION_INT,1,1,"{""mavpackettype"": ""GLOBAL_POSITION_INT"", ""time_boot_ms"": 1686464, ""lat"": -353633515, ""lon"": 1491652411, ""alt"": 110, ""relative_alt"": 10, ""vx"": 1, ""vy"": -2, ""vz"": 0, ""hdg"": 35920}"
1776972287.344289,SYS_STATUS,1,1,"{""mavpackettype"": ""SYS_STATUS"", ""onboard_control_sensors_present"": 325188671, ""onboard_control_sensors_enabled"": 308379711, ""onboard_control_sensors_health"": 326205503, ""load"": 0, ""voltage_battery"": 12600, ""current_battery"": 0, ""battery_remaining"": 99, ""drop_rate_comm"": 0, ""errors_comm"": 0, ""errors_count1"": 0, ""errors_count2"": 0, ""errors_count3"": 0, ""errors_count4"": 0}"
1776972287.3447475,POWER_STATUS,1,1,"{""mavpackettype"": ""POWER_STATUS"", ""Vcc"": 5000, ""Vservo"": 0, ""flags"": 0}"
1776972287.3450892,MEMINFO,1,1,"{""mavpackettype"": ""MEMINFO"", ""brkval"": 0, ""freemem"": 65535, ""freemem32"": 524288}"
1776972287.3454201,MISSION_CURRENT,1,1,"{""mavpackettype"": ""MISSION_CURRENT"", ""seq"": 0, ""total"": 0, ""mission_state"": 1, ""mission_mode"": 0}"
1776972287.3459141,SERVO_OUTPUT_RAW,1,1,"{""mavpackettype"": ""SERVO_OUTPUT_RAW"", ""time_usec"": 1686464311, ""port"": 0, ""servo1_raw"": 1500, ""servo2_raw"": 1500, ""servo3_raw"": 1000, ""servo4_raw"": 1500, ""servo5_raw"": 0, ""servo6_raw"": 0, ""servo7_raw"": 0, ""servo8_raw"": 0, ""servo9_raw"": 0, ""servo10_raw"": 0, ""servo11_raw"": 0, ""servo12_raw"": 0, ""servo13_raw"": 0, ""servo14_raw"": 0, ""servo15_raw"": 0, ""servo16_raw"": 0}"
1776972287.3463879,RC_CHANNELS,1,1,"{""mavpackettype"": ""RC_CHANNELS"", ""time_boot_ms"": 1686464, ""chancount"": 8, ""chan1_raw"": 1500, ""chan2_raw"": 1500, ""chan3_raw"": 1000, ""chan4_raw"": 1500, ""chan5_raw"": 1800, ""chan6_raw"": 1000, ""chan7_raw"": 1000, ""chan8_raw"": 1800, ""chan9_raw"": 0, ""chan10_raw"": 0, ""chan11_raw"": 0, ""chan12_raw"": 0, ""chan13_raw"": 0, ""chan14_raw"": 0, ""chan15_raw"": 0, ""chan16_raw"": 0, ""chan17_raw"": 0, ""chan18_raw"": 0, ""rssi"": 255}"
1776972287.3468273,RAW_IMU,1,1,"{""mavpackettype"": ""RAW_IMU"", ""time_usec"": 1686464311, ""xacc"": 0, ""yacc"": 0, ""zacc"": -1001, ""xgyro"": 1, ""ygyro"": 1, ""zgyro"": 1, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""id"": 0, ""temperature"": 4492}"
1776972287.3472576,SCALED_IMU2,1,1,"{""mavpackettype"": ""SCALED_IMU2"", ""time_boot_ms"": 1686464, ""xacc"": 0, ""yacc"": 0, ""zacc"": -1001, ""xgyro"": 1, ""ygyro"": 1, ""zgyro"": 1, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""temperature"": 4492}"
1776972287.3514953,SCALED_IMU3,1,1,"{""mavpackettype"": ""SCALED_IMU3"", ""time_boot_ms"": 1686464, ""xacc"": 0, ""yacc"": 0, ""zacc"": 0, ""xgyro"": 0, ""ygyro"": 0, ""zgyro"": 0, ""xmag"": 232, ""ymag"": 52, ""zmag"": -528, ""temperature"": 0}"
